"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2006M12,01151 Voi,98.04
2006M12,011612 Banaanit,91.19
2006M12,011613 Omenat,111.11
2007M01,0111 Viljatuotteet ja leipa,101.95
2007M01,0112 Liha,102.66
2007M01,01141 Maito,103.41
2007M01,01144 Juustot ja rahkat,100.31
2007M01,01151 Voi,99.32
2007M01,011612 Banaanit,88.17
2007M01,011613 Omenat,114.18
2007M02,0111 Viljatuotteet ja leipa,102.09
2007M02,0112 Liha,102.58
2007M02,01141 Maito,103.57
2007M02,01144 Juustot ja rahkat,100.21
2007M02,01151 Voi,98.51
2007M02,011612 Banaanit,88.59
2007M02,011613 Omenat,115.92
2007M03,0111 Viljatuotteet ja leipa,101.94
2007M03,0112 Liha,102.67
2007M03,01141 Maito,103.76
2007M03,01144 Juustot ja rahkat,99.83
2007M03,01151 Voi,99.2
2007M03,011612 Banaanit,84.6
2007M03,011613 Omenat,118.07
2007M04,0111 Viljatuotteet ja leipa,102.02
2007M04,0112 Liha,102.86
2007M04,01141 Maito,103.16
2007M04,01144 Juustot ja rahkat,99.63
2007M04,01151 Voi,98.78
2007M04,011612 Banaanit,95.91
2007M04,011613 Omenat,115.87
2007M05,0111 Viljatuotteet ja leipa,102.74
2007M05,0112 Liha,102.7
2007M05,01141 Maito,103.69
2007M05,01144 Juustot ja rahkat,99.03
2007M05,01151 Voi,98.42
2007M05,011612 Banaanit,86.7
2007M05,011613 Omenat,113.21
2007M06,0111 Viljatuotteet ja leipa,102.91
2007M06,0112 Liha,102.98
2007M06,01141 Maito,103.59
2007M06,01144 Juustot ja rahkat,98.97
2007M06,01151 Voi,98.22
2007M06,011612 Banaanit,86.15
2007M06,011613 Omenat,117.33
2007M07,0111 Viljatuotteet ja leipa,102.86
2007M07,0112 Liha,102.85
2007M07,01141 Maito,103.64
2007M07,01144 Juustot ja rahkat,99.07
2007M07,01151 Voi,98.4
2007M07,011612 Banaanit,91.48
2007M07,011613 Omenat,123.16
2007M08,0111 Viljatuotteet ja leipa,102.72
2007M08,0112 Liha,102.66
2007M08,01141 Maito,103.63
2007M08,01144 Juustot ja rahkat,99.11
2007M08,01151 Voi,97.79
2007M08,011612 Banaanit,73.01
2007M08,011613 Omenat,117.7
2007M09,0111 Viljatuotteet ja leipa,102.89
2007M09,0112 Liha,103.83
